Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde,,Wisselkoers,Transactiekosten,,Totaal,,Order ID
30-03-2021,11:00,ISHARES S&P 500 MATERIALS SECTOR UCITS ETF USD ACC,IE00B4MKCJ84,XET,XETA,5,6.9500,EUR,-34.75,EUR,-34.75,EUR,,,,-34.75,EUR,b84e86b6-c659-454c-871d-199d1ae5b64c
29-03-2021,09:28,VANGUARD FTSE AW,IE00B3RBWM25,EAM,XAMS,4,93.8500,EUR,-375.40,EUR,-375.40,EUR,,,,-375.40,EUR,61a0b05b-a595-4adb-9f1c-28389391ecf9
09-03-2021,19:53,ADVANCED MICRO DEVICES,US0079031078,NDQ,SOHO,15,78.5350,USD,-1178.03,USD,-990.52,EUR,1.1881,-0.55,EUR,-991.07,EUR,4b5ffb0a-4562-46b7-8e0a-802714ff86c3
25-02-2021,15:39,VANGUARD FTSE AW,IE00B3RBWM25,EAM,XAMS,2,91.4900,EUR,-182.98,EUR,-182.98,EUR,,,,-182.98,EUR,9d889347-e8ea-4cb9-aa22-2dd96bffa8b5
25-02-2021,15:32,GAMESTOP CORPORATION C,US36467W1099,NSY,XNYS,-1,160.0000,USD,160.00,USD,130.62,EUR,1.2237,-0.50,EUR,130.12,EUR,7d6525d3-6011-46ae-9870-e3ebb97e404f
29-01-2021,19:34,GAMESTOP CORPORATION C,US36467W1099,NSY,CDED,1,300.0000,USD,-300.00,USD,-247.28,EUR,1.2120,-0.50,EUR,-247.78,EUR,fc880091-24d5-41dd-86d7-f9cf46161d6b
21-01-2021,09:52,ASML HOLDING,NL0010273215,EAM,CEUX,1,463.2000,EUR,-463.20,EUR,-463.20,EUR,,-2.14,EUR,-465.34,EUR,a892d64a-8711-4308-892a-9a04d46704a3
19-11-2020,09:05,VANGUARD FTSE AW,IE00B3RBWM25,EAM,XAMS,12,84.6900,EUR,-1016.28,EUR,-1016.28,EUR,,,,-1016.28,EUR,665d8e46-7c48-4b9b-b924-e05562f749ba
11-11-2020,17:33,ADVANCED MICRO DEVICES,US0079031078,NDQ,SOHO,15,79.5500,USD,-1193.25,USD,-1014.24,EUR,1.1753,-0.55,EUR,-1014.79,EUR,e0b68027-0e19-4e94-acb1-4a6293fb319e
05-11-2020,17:17,ADVANCED MICRO DEVICES,US0079031078,NDQ,SOHO,3,82.0300,USD,-246.09,USD,-208.22,EUR,1.1807,-0.51,EUR,-208.73,EUR,fd5df663-0389-4873-895e-895866c422b1
05-11-2020,10:28,TAKEAWAY,NL0012015705,EAM,XAMS,5,102.7500,EUR,-513.75,EUR,-513.75,EUR,,-2.15,EUR,-515.90,EUR,48bcc1e8-1b3c-4d84-b925-92197442613f
04-11-2020,17:27,ADVANCED MICRO DEVICES,US0079031078,NDQ,CDED,1,79.9700,USD,-79.97,USD,-68.30,EUR,1.1697,-0.50,EUR,-68.80,EUR,e99785fc-73b2-41b8-98fb-299fadc5e7a0
